2019-07-15T11:38:53.124076,0,0,0,0,0,0,0,0,..
2019-07-15T11:38:53.695314,2652725,-5119242,-7865104,-7879468,-7914491,-7865406,-7870052,-8003102,..
2019-07-15T11:38:53.703304,2651743,-5119990,-7864911,-7876949,-7913698,-7865164,-7870079,-8001667,..
2019-07-15T11:38:53.899042,2651283,-5120289,-7866541,-7864885,-7912430,-7866209,-7871169,-7999812,..
2019-07-15T11:38:54.090786,2651864,-5119525,-7867315,-7862536,-7910262,-7866777,-7871428,-7997067,..
2019-07-15T11:38:54.170680,2652579,-5118646,-7867076,-7871399,-7908047,-7866632,-7871186,-7994192,..
2019-07-15T11:38:54.286525,2653092,-5118023,-7866612,-7880742,-7906080,-7866665,-7870883,-7991564,..
2019-07-15T11:38:54.298509,2653369,-5117611,-7866476,-7892124,-7904242,-7866459,-7870947,-7989053,..
2019-07-15T11:38:54.490254,2653375,-5117433,-7866047,-7912413,-7902616,-7865979,-7870624,-7986752,..
2019-07-15T11:38:54.662024,2653093,-5117506,-7865790,-7917800,-7901159,-7866042,-7870436,-7984674,..
2019-07-15T11:38:54.697977,2652676,-5117707,-7865672,-7915533,-7899822,-7865711,-7870094,-7982768,..
2019-07-15T11:38:54.889720,2651884,-5118266,-7865311,-7913592,-7898845,-7864983,-7869916,-7981181,..
2019-07-15T11:38:55.033528,2650946,-5119014,-7865471,-7911865,-7898014,-7865371,-7870098,-7979739,..
2019-07-15T11:38:55.093449,2650106,-5119639,-7865732,-7910001,-7897093,-7865429,-7870302,-7978151,..
2019-07-15T11:38:55.285193,2649594,-5119864,-7865965,-7907787,-7895864,-7865862,-7870460,-7976249,..
2019-07-15T11:38:55.293183,2649169,-5120014,-7865834,-7905539,-7894594,-7865804,-7870282,-7974364,..
2019-07-15T11:38:55.492916,2648472,-5120580,-7865687,-7903633,-7893594,-7865511,-7870316,-7972773,..
2019-07-15T11:38:55.524874,2647637,-5121340,-7865660,-7901847,-7892687,-7865421,-7870212,-7971222,..
2019-07-15T11:38:55.756567,2646939,-5121994,-7865741,-7899987,-7891686,-7865507,-7870311,-7969602,..
2019-07-15T11:38:55.800506,2646519,-5122273,-7866042,-7897816,-7890454,-7865905,-7870647,-7967737,..
2019-07-15T11:38:55.872410,2646055,-5122502,-7865782,-7895632,-7889224,-7865404,-7870313,-7965894,..
2019-07-15T11:38:56.004235,2645148,-5123169,-7865590,-7893883,-7888392,-7864964,-7870173,-7964438,..
2019-07-15T11:38:56.092118,2644230,-5123926,-7865632,-7892191,-7887612,-7865129,-7870356,-7963031,..
2019-07-15T11:38:56.120080,2643446,-5124465,-7866075,-7890309,-7886906,-7865437,-7870777,-7961377,..
2019-07-15T11:38:56.323808,2643062,-5124582,-7866124,-7888066,-7886764,-7865489,-7870757,-7959431,..
2019-07-15T11:38:56.431664,2642794,-5124617,-7866069,-7885717,-7886759,-7865693,-7870636,-7957394,..
